collection_no,collection.authorizer,license,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,occurrence_no,pubyr,type_specimen,type_body_part,collection.reference_no,10_my_bin,environment
8054,J. Alroy,CC BY,n. gen.,Idiastogyia,n. sp.,fatisca,,,,,1200614,1986,NIGP 70057,wing,492,Jurassic 1,marine indet.
10721,P. Gensel,,,Rhyniognatha,,hirsti,,,,,782214,,,,3987,,
10975,H. Sims,,n. gen.,Cotradechites,n. sp.,lithinus,,,,,1111735,1968,PU 888-93,tegmen,4023,Cenozoic 1,"""channel"""
11150,H. Sims,,,Tupus,n. sp.,whitei,,Typus,n. sp.,whitei,1013418,1928,USNM 71713,forewing,4048,Permian 2,fluvial indet.
14339,H. Sims,,n. gen.,Dysmorphoscartella,n. sp.,lobata,,,,,1017110,1973,N-E Rd I 1ab,wing,6188,Permian 4,delta plain
14344,H. Sims,,,Euxenoperla,n. sp.,similis,,,,,1017111,1973,N-EW22,wing,6188,Permian 4,delta plain
14350,H. Sims,,,Mioloptera,,stuckenbergi,,,,,1019729,1973,NM 850,wing,6188,Permian 4,delta plain
14350,H. Sims,,aff.,Aleuronympha,,bibulla,,,,,1019767,1974,NM 875ab,nymph,6188,Permian 4,delta plain
14356,H. Sims,,,Megoniella,,multinerva,,,,,1019735,1973,NM 849,wing,6188,Permian 4,delta plain
14356,H. Sims,,,Permosyne,n. sp.,elongata,,,,,1037649,2005,NMSA 2571,elytra,6188,Permian 4,delta plain
14356,H. Sims,,cf.,Permocicada,informal,sp B,,,,,1019713,1928,,,6188,Permian 4,delta plain
14356,H. Sims,,aff.,Permopsychops,,sp.,,,,,1019717,1926,,,6188,Permian 4,delta plain
14356,H. Sims,,,Taldycupes,n. sp.,africanus,,,,,1037645,2005,NMSA 2574,elytra,6188,Permian 4,delta plain
14356,H. Sims,,,Palademosyne,n. sp.,natalensis,,,,,1037648,2005,NMSA 2573,elytra,6188,Permian 4,delta plain
14356,H. Sims,,cf.,Permocicada,informal,sp A,,,,,1019712,1928,,,6188,Permian 4,delta plain
14356,H. Sims,,aff.,Permonka,,sp.,,,,,1019769,1973,,,6188,Permian 4,delta plain
14356,H. Sims,,aff.,Permithone,,sp.,,,,,1019716,1922,,,6188,Permian 4,delta plain
14356,H. Sims,,,Prochoristella,n. sp.,balgowanensis,,,,,1019724,1999,NM 2564 ab,forewing,6188,Permian 4,delta plain
14356,H. Sims,,,Palaeomantis,,sp.,,,,,1019707,1904,,,6188,Permian 4,delta plain
14356,H. Sims,,n. gen.,Stenotegmocicada,n. sp.,triclades,,,,,1019715,1999,NM 2553,forewing,6188,Permian 4,delta plain
14356,H. Sims,,,Ignotala,,sp.,,,,,1019693,1973,,,6188,Permian 4,delta plain
14356,H. Sims,,,Beaufortiscus,,sp.,,,,,1019710,1976,,,6188,Permian 4,delta plain
14356,H. Sims,,cf.,Permocicada,informal,sp C,,,,,1019714,1928,,,6188,Permian 4,delta plain
14357,H. Sims,,n. gen.,Beaufortiscus,n. sp.,dixi,,,,,1019219,1976,NM 950ab,tegmen,6188,Permian 4,delta plain
14357,H. Sims,,n. gen.,Afrogrylloblattus,n. sp.,disputabilis,,,,,1019734,2013,NM 988,forewing,6188,Permian 4,delta plain
14357,H. Sims,,,Rhombocoleites,n. sp.,danutae,,,,,1037647,2005,NMSA 0999,exoskeleton,6188,Permian 4,delta plain
14357,H. Sims,,,Permocicada,n. sp.,thompsoni,,,,,1019711,1999,NM 982,forewing,6188,Permian 4,delta plain
14357,H. Sims,,,Euxenoperla,n. sp.,oliveri,,,,,1019488,1976,NM 923ab,forewing,6188,Permian 4,delta plain
14357,H. Sims,,aff.,Aleuronympha,,bibulla,,,,,1019765,1974,NM 875ab,nymph,6188,Permian 4,delta plain
14357,H. Sims,,,Liomopterites,n. sp.,ulterior,,,,,1019731,2013,NM 980,forewing,6188,Permian 4,delta plain
14357,H. Sims,,,Taldycupes,n. sp.,lidgettoniensis,,,,,1037646,2005,NMSA 2505,elytra,6188,Permian 4,delta plain
14361,H. Sims,,,Miolopterina,,tenuipennis,,,,,1019490,1976,NM 909,hindwing,6188,Permian 4,delta plain
14361,H. Sims,,,Prochoristella,n. sp.,bulwerensis,,,,,1019725,1999,NM 2565 ab,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Dysmorphoscartella,,lobata,,,,,1019215,1973,N-E Rd I 1ab,wing,6188,Permian 4,delta plain
14361,H. Sims,,,Liomopterites,n. sp.,meridionalis,,,,,1019730,2013,NM 2730,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Euxenoperla,,similis,,,,,1019489,1973,N-EW22,wing,6188,Permian 4,delta plain
14361,H. Sims,,aff.,Archeosmylus,,sp.,,,,,1019708,1953,,,6188,Permian 4,delta plain
14361,H. Sims,,n. gen.,Permoxenopterum,n. sp.,laticostum,,,,,1095857,2011,NMSA 2732,tegmen,6188,Permian 4,delta plain
14361,H. Sims,,,Callietheira,n. sp.,granthami,,,,,1019722,1999,NM 2558 ab,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Liomoptoides,,similis,,,,,1019733,1973,NM 841ab,wing,6188,Permian 4,delta plain
14361,H. Sims,,,Epimastax,n. sp.,hesterae,,,,,964694,2011,NMSA 2737,forewing,6188,Permian 4,delta plain
14361,H. Sims,,n. gen.,Afroperla,n. sp.,permiana,,,,,937600,2004,NM 2733,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Neochoristella,n. sp.,goodalli,,,,,1019726,1999,NM 2567 ab,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Austroprosboloides,,vandijki,,,,,1019216,1973,NM 844,forewing,6188,Permian 4,delta plain
