specimen_no,occurrence_no,reference_no,specimen_id,sex,specimen_part,is_type,measurement_no,measurement_type,average
18328,879830,33306,PIMUZ9086,NULL,forewing,NULL,35745,width,15
18328,879830,33306,PIMUZ9086,NULL,forewing,NULL,35746,length,50
18329,879831,33306,PIN 4305/363,NULL,forewing,paratype,35747,width,3.6
18329,879831,33306,PIN 4305/363,NULL,forewing,paratype,35748,length,11
18330,879831,33306,PIN 4305/362,NULL,forewing,holotype,35749,length,10
18331,879832,33308,MCZ 4895ab,NULL,forewing,holotype,35750,width,10.5
18331,879832,33308,MCZ 4895ab,NULL,forewing,holotype,35751,length,34
18332,880136,33326,UC Boulder MC 1a,NULL,hindwing,holotype,35752,width,14
18332,880136,33326,UC Boulder MC 1a,NULL,hindwing,holotype,35753,length,49
18333,880125,33326,UC Boulder J 105b,NULL,forewing,holotype,35754,width,4.5
18333,880125,33326,UC Boulder J 105b,NULL,forewing,holotype,35755,length,13.65
18334,880139,33326,UC Boulder BP 4b,NULL,wing,holotype,35756,width,2.45
18334,880139,33326,UC Boulder BP 4b,NULL,wing,holotype,35757,length,6.3
18336,880126,33326,UC Boulder J 33a,NULL,hemelytron,holotype,35760,width,0.95
18336,880126,33326,UC Boulder J 33a,NULL,hemelytron,holotype,35761,length,2.5
18337,880127,33326,UC Boulder J 51a,NULL,forewing,holotype,35762,width,3.7
18337,880127,33326,UC Boulder J 51a,NULL,forewing,holotype,35763,length,11.25
18338,880138,33326,UC Boulder BP 12b,NULL,forewing,holotype,35764,width,2.75
18338,880138,33326,UC Boulder BP 12b,NULL,forewing,holotype,35765,length,9
18339,880137,33326,UC Boulder BP 18b,NULL,wing,holotype,35766,width,4
18339,880137,33326,UC Boulder BP 18b,NULL,wing,holotype,35767,length,14.6
18340,880128,33326,UC Boulder J 4a,NULL,wing,holotype,35768,width,1.15
18340,880128,33326,UC Boulder J 4a,NULL,wing,holotype,35769,length,2.5
18341,880129,33326,UC Boulder J 127a,NULL,wing,holotype,35770,width,1.8
18341,880129,33326,UC Boulder J 127a,NULL,wing,holotype,35771,length,3.95
18342,880130,33326,UC Boulder J 96a,NULL,wing,holotype,35772,width,0.9
18342,880130,33326,UC Boulder J 96a,NULL,wing,holotype,35773,length,2.5
18343,880131,33326,UC Boulder J 20a,NULL,wing,holotype,35774,width,1.35
18343,880131,33326,UC Boulder J 20a,NULL,wing,holotype,35775,length,3.75
18344,880132,33326,UC Boulder J 27,NULL,wing,holotype,35776,width,4.45
18344,880132,33326,UC Boulder J 27,NULL,wing,holotype,35777,length,13
18345,880133,33326,UC Boulder J 43,NULL,wing,holotype,35778,width,2.5
18345,880133,33326,UC Boulder J 43,NULL,wing,holotype,35779,length,7.25
18346,880134,33326,UC Boulder J 113a,NULL,wing,holotype,35780,width,1.9
18346,880134,33326,UC Boulder J 113a,NULL,wing,holotype,35781,length,5
18347,880135,33326,UC Boulder DC 1,NULL,wing,holotype,35782,width,2.5
18347,880135,33326,UC Boulder DC 1,NULL,wing,holotype,35783,length,8
18355,880148,33331,PIN 1631/206,NULL,forewing,holotype,35791,width,5.8
18355,880148,33331,PIN 1631/206,NULL,forewing,holotype,35792,length,12
18889,215149,4978,MCZ 4024,NULL,wing,holotype,36688,length,330
19293,909063,34771,GBA 2009/060/0001,NULL,elytron,holotype,37304,width,1.5
19293,909063,34771,GBA 2009/060/0001,NULL,elytron,holotype,37305,length,3.6
19294,909065,34771,Landesmuseum Niederosterreich F-5411A,NULL,elytron,holotype,37306,width,0.8
19294,909065,34771,Landesmuseum Niederosterreich F-5411A,NULL,elytron,holotype,37307,length,1.5
19295,909067,34771,GBA 2009/060/0002A,NULL,elytron,holotype,37308,width,1.2
19295,909067,34771,GBA 2009/060/0002A,NULL,elytron,holotype,37309,length,2.5
19296,909069,34771,GBA 2009/060/0003b,NULL,elytron,holotype,37310,width,0.8
19296,909069,34771,GBA 2009/060/0003b,NULL,elytron,holotype,37311,length,1.5
19298,909073,34774,NIGP DHG200761,NULL,wing,holotype,37313,width,2.5
19298,909073,34774,NIGP DHG200761,NULL,wing,holotype,37314,length,6.9
19300,909074,34774,NIGP DHG200762,NULL,wing,holotype,37316,width,2.2
19300,909074,34774,NIGP DHG200762,NULL,wing,holotype,37317,length,5.6
19302,909075,34774,NIGP DHG200763,NULL,wing,holotype,37319,width,3.4
19302,909075,34774,NIGP DHG200763,NULL,wing,holotype,37320,length,7.6
19303,909098,34780,DMNH 26654,NULL,forewing,holotype,37321,length,23
19304,909122,34783,NIGP DHG200981,NULL,wing,holotype,37322,width,1.9
19304,909122,34783,NIGP DHG200981,NULL,wing,holotype,37323,length,3.8
19306,909123,34783,NIGP DHG200982,NULL,wing,holotype,37325,width,1.4
19306,909123,34783,NIGP DHG200982,NULL,wing,holotype,37326,length,4.2
19308,909124,34783,NIGP DHG200983,NULL,wing,holotype,37328,width,1.4
19308,909124,34783,NIGP DHG200983,NULL,wing,holotype,37329,length,3.4
19309,909176,34784,PIN 3115/77,NULL,forewing,holotype,37330,width,11
19309,909176,34784,PIN 3115/77,NULL,forewing,holotype,37331,length,42
19310,909177,34784,PIN 3115/212,NULL,forewing,holotype,37332,width,19
19310,909177,34784,PIN 3115/212,NULL,forewing,holotype,37333,length,58
19311,909177,34784,PIN 3115/124,NULL,hindwing,paratype,37334,length,56
19314,909178,34785,Perm University N 2/103,male,forewing,holotype,37337,width,3.8
19314,909178,34785,Perm University N 2/103,male,forewing,holotype,37338,length,12.5
19315,909178,34785,Perm Univ N 1/91,NULL,forewing,paratype,37339,width,4.7
19315,909178,34785,Perm Univ N 1/91,NULL,forewing,paratype,37340,length,15.5
19316,909178,34785,Perm Univ N 1/91,NULL,hindwing,paratype,37341,length,14.2
19321,909317,34788,CNU-NEU-NN2010204-1,NULL,forewing,holotype,37350,width,11.7
19321,909317,34788,CNU-NEU-NN2010204-1,NULL,forewing,holotype,37351,length,35.2
19322,909317,34788,CNU-NEU-NN2010204-1,NULL,hindwing,holotype,37352,width,10.1
19322,909317,34788,CNU-NEU-NN2010204-1,NULL,hindwing,holotype,37353,length,32.3
19323,909318,34788,CNU-NEU-NN2010207,NULL,hindwing,holotype,37354,width,11.2
19323,909318,34788,CNU-NEU-NN2010207,NULL,hindwing,holotype,37355,length,28.7
19324,909319,34788,CNU-NEU-NN2010208,NULL,hindwing,holotype,37356,width,7.5
19324,909319,34788,CNU-NEU-NN2010208,NULL,hindwing,holotype,37357,length,25.2
19325,909383,34790,JKP 007/1,NULL,forewing,holotype,37358,width,30
19325,909383,34790,JKP 007/1,NULL,forewing,holotype,37359,length,100
19326,719386,34652,UTGD 94563,NULL,forewing,holotype,37360,width,7
19326,719386,34652,UTGD 94563,NULL,forewing,holotype,37361,length,23.3
19328,909900,34793,CNU-NEU-NN2009700,NULL,forewing,holotype,37363,width,3.4
19328,909900,34793,CNU-NEU-NN2009700,NULL,forewing,holotype,37364,length,10.9
19329,909900,34793,CNU-NEU-NN2009700,NULL,hindwing,holotype,37365,width,2.7
19329,909900,34793,CNU-NEU-NN2009700,NULL,hindwing,holotype,37366,length,9.8
19331,909901,34794,CNU-NEU-NN2010240,NULL,forewing,holotype,37368,width,19.7
19331,909901,34794,CNU-NEU-NN2010240,NULL,forewing,holotype,37369,length,54.4
19332,909901,34794,CNU-NEU-NN2010240,NULL,hindwing,holotype,37371,length,3.8
19332,909901,34794,CNU-NEU-NN2010240,NULL,hindwing,holotype,37370,width,19.2
19334,909902,34794,CNU-NEU-NN2010241,NULL,forewing,holotype,37373,length,69.8
19337,910254,8345,NULL,NULL,elytron,NULL,37377,length,13.8
19339,911069,34818,CNU-NX1-9right,NULL,forewing,NULL,37379,width,2.8
19339,911069,34818,CNU-NX1-9right,NULL,forewing,NULL,37380,length,6.9
19340,911069,34818,CNU-NX1-10right,NULL,forewing,NULL,37381,width,2.4
19340,911069,34818,CNU-NX1-10right,NULL,forewing,NULL,37382,length,7.3
19341,911069,34818,CNU-NX1-12right,NULL,forewing,NULL,37383,width,3
19341,911069,34818,CNU-NX1-12right,NULL,forewing,NULL,37384,length,9
19342,911069,34818,CNU-NX1-13,NULL,forewing,NULL,37385,width,3
19342,911069,34818,CNU-NX1-13,NULL,forewing,NULL,37386,length,9
19343,911069,34818,CNU-NX1-135right,NULL,forewing,NULL,37387,width,2.8
19343,911069,34818,CNU-NX1-135right,NULL,forewing,NULL,37388,length,8
19344,911069,34818,CNU-NX1-38,NULL,forewing,NULL,37389,width,4
19344,911069,34818,CNU-NX1-38,NULL,forewing,NULL,37390,length,9.2
19345,911069,34818,CNU-NX1-11C,NULL,forewing,NULL,37391,width,3
19345,911069,34818,CNU-NX1-11C,NULL,forewing,NULL,37392,length,8.8
19346,911069,34818,CNU-NX1-52,NULL,forewing,NULL,37393,width,3.1
19346,911069,34818,CNU-NX1-52,NULL,forewing,NULL,37394,length,9
19347,911069,34818,CNU-NX1-53,NULL,forewing,NULL,37395,width,3.7
19347,911069,34818,CNU-NX1-53,NULL,forewing,NULL,37396,length,9.6
19348,911069,34818,CNU-NX1-83C,NULL,forewing,NULL,37397,width,3.9
19348,911069,34818,CNU-NX1-83C,NULL,forewing,NULL,37398,length,8.7
19349,911069,34818,CNU-NX1-14C,NULL,forewing,NULL,37399,width,3.4
19349,911069,34818,CNU-NX1-14C,NULL,forewing,NULL,37400,length,8.9
19350,911069,34818,CNU-NX1-18P,NULL,forewing,NULL,37401,width,2.8
19350,911069,34818,CNU-NX1-18P,NULL,forewing,NULL,37402,length,8.1
19351,911069,34818,CNU-NX1-41,NULL,forewing,NULL,37403,width,3.2
19351,911069,34818,CNU-NX1-41,NULL,forewing,NULL,37404,length,9
19352,911069,34818,CNU-NX1-41,NULL,hindwing,NULL,37405,width,3.1
19352,911069,34818,CNU-NX1-41,NULL,hindwing,NULL,37406,length,7.2
19353,911069,34818,CNU-NX1-9left,NULL,forewing,NULL,37407,width,2.6
19353,911069,34818,CNU-NX1-9left,NULL,forewing,NULL,37408,length,6.7
19354,911069,34818,CNU-NX1-10left,NULL,forewing,NULL,37409,width,2.6
19354,911069,34818,CNU-NX1-10left,NULL,forewing,NULL,37410,length,7.3
19355,911069,34818,CNU-NX1-12left,NULL,forewing,NULL,37411,width,2.7
19355,911069,34818,CNU-NX1-12left,NULL,forewing,NULL,37412,length,8
19356,911069,34818,CNU-NX1-135left,NULL,forewing,NULL,37413,width,3.1
19356,911069,34818,CNU-NX1-135left,NULL,forewing,NULL,37414,length,7.7
19357,911079,34822,FG 596/IV/120,NULL,wing,holotype,37415,width,14.3
19357,911079,34822,FG 596/IV/120,NULL,wing,holotype,37416,length,31.5
19358,911080,34823,CNU-COL-LB2006862,NULL,elytron,holotype,37417,width,1.35
19358,911080,34823,CNU-COL-LB2006862,NULL,elytron,holotype,37418,length,5.5
19360,911081,34823,CNU-COL-LB2008836,NULL,elytron,holotype,37420,width,3.3
19360,911081,34823,CNU-COL-LB2008836,NULL,elytron,holotype,37421,length,12.9
19362,911082,34823,CNU-COL-LB2008828PC,NULL,elytron,holotype,37423,width,1.35
19362,911082,34823,CNU-COL-LB2008828PC,NULL,elytron,holotype,37424,length,6
19364,911083,34823,CNU-COL-LB2008862,NULL,elytron,holotype,37426,width,1.35
19364,911083,34823,CNU-COL-LB2008862,NULL,elytron,holotype,37427,length,5.5
19366,911084,34823,CNU-COL-LB2006841,NULL,elytron,holotype,37429,width,1.4
19366,911084,34823,CNU-COL-LB2006841,NULL,elytron,holotype,37430,length,6
19368,911085,34823,CNU-COL-LB2006863,NULL,elytron,holotype,37432,width,1.6
19368,911085,34823,CNU-COL-LB2006863,NULL,elytron,holotype,37433,length,6.8
19370,911111,34824,CNU-HY-LB2006036,NULL,forewing,holotype,37435,width,4.5
19370,911111,34824,CNU-HY-LB2006036,NULL,forewing,holotype,37436,length,13.1
19372,911112,34824,CNU-HY-LB2006040,NULL,forewing,holotype,37439,width,2.6
19372,911112,34824,CNU-HY-LB2006040,NULL,forewing,holotype,37440,length,7.2
19374,911119,34829,CAS 539,NULL,hindwing,holotype,37442,width,3.8
19374,911119,34829,CAS 539,NULL,hindwing,holotype,37443,length,10.9
19375,911642,34848,MSF D90929,NULL,forewing,NULL,37444,length,28.8
19376,911642,34848,MSF D90929,NULL,hindwing,NULL,37445,length,28.5
19378,911643,34848,SMNS 66823,NULL,forewing,holotype,37447,width,7
19378,911643,34848,SMNS 66823,NULL,forewing,holotype,37448,length,24.7
19379,911643,34848,WDC 132,NULL,forewing,paratype,37449,width,6.8
19379,911643,34848,WDC 132,NULL,forewing,paratype,37450,length,24.4
19380,911643,34848,WDC 132,NULL,hindwing,paratype,37451,length,23.1
19382,911644,34848,SMNS 66803b,NULL,wing,holotype,37453,length,12.3
19384,911645,34848,WDC 136,male,forewing,holotype,37455,length,64
19385,911645,34848,WDC 136,male,hindwing,holotype,37456,length,64.2
19387,911645,34848,WDC Z110,female,forewing,paratype,37458,length,62.1
19388,911645,34848,WDC Z110,female,hindwing,paratype,37459,length,62.4
19389,911646,34848,SMF VI 853,NULL,forewing,holotype,37460,length,45.1
19390,911646,34848,SMF VI 853,NULL,hindwing,holotype,37461,width,14.6
19390,911646,34848,SMF VI 853,NULL,hindwing,holotype,37462,length,43.9
19391,911648,34848,SMNS 63648,NULL,forewing,holotype,37463,length,48.9
19392,911649,34848,SMNS 66613,female,hindwing,NULL,37464,width,19
19393,911650,34848,SMNS 66591,female,forewing,holotype,37465,length,40.5
19394,911650,34848,SMNS 66591,female,hindwing,holotype,37466,width,13.5
19394,911650,34848,SMNS 66591,female,hindwing,holotype,37467,length,38.8
19395,911651,40764,SMNS 66607,male,forewing,holotype,37468,length,34.2
19396,911652,34848,SMF VI 1043,male,forewing,holotype,37469,length,29.5
19397,911652,34848,SMF VI 1043,male,hindwing,holotype,37470,width,9.8
19397,911652,34848,SMF VI 1043,male,hindwing,holotype,37471,length,28.6
19399,911652,34848,SMF VI 1044,female,forewing,paratype,37473,length,29.8
19400,911652,34848,SMF VI 1044,female,hindwing,paratype,37474,width,9.9
19400,911652,34848,SMF VI 1044,female,hindwing,paratype,37475,length,29
19402,911652,34848,SMNS 66614,male,forewing,paratype,37477,width,8.3
19402,911652,34848,SMNS 66614,male,forewing,paratype,37478,length,30.6
19403,911652,34848,SMNS 66614,male,hindwing,paratype,37479,width,10.5
19403,911652,34848,SMNS 66614,male,hindwing,paratype,37480,length,29
19404,911653,34848,SMF VI 876,NULL,forewing,holotype,37481,length,31.5
19405,911654,34848,SMF VI 1045,female,forewing,holotype,37482,length,19.6
19406,911654,34848,SMF VI 1045,female,hindwing,holotype,37483,width,6.3
19406,911654,34848,SMF VI 1045,female,hindwing,holotype,37484,length,18.4
19408,911655,34848,SMNS 66606a,male,forewing,holotype,37486,length,24
19409,911655,34848,SMNS 66606a,male,hindwing,holotype,37487,width,7.3
19409,911655,34848,SMNS 66606a,male,hindwing,holotype,37488,length,23
19411,911655,34848,SMF VI 1046,female,hindwing,paratype,37490,width,9.2
19411,911655,34848,SMF VI 1046,female,hindwing,paratype,37491,length,27.9
19412,911656,34848,SMNS 66615a,female,forewing,holotype,37492,length,38.4
19413,911656,34848,SMNS 66615a,female,hindwing,holotype,37493,width,12.5
19413,911656,34848,SMNS 66615a,female,hindwing,holotype,37494,length,36.3
19414,911656,34848,SMNS 66592,female,forewing,paratype,37495,length,33.7
19415,911656,34848,SMNS 66592,female,hindwing,paratype,37496,width,11.2
19415,911656,34848,SMNS 66592,female,hindwing,paratype,37497,length,32.6
19417,911656,34848,SMNS 66612,male,forewing,paratype,37499,length,38
19418,911656,34848,SMNS 66612,male,hindwing,paratype,37500,length,37
19420,911656,34848,SMNS 66390,female,forewing,paratype,37502,length,36.8
19421,911656,34848,SMNS 66390,female,hindwing,paratype,37503,width,13
19421,911656,34848,SMNS 66390,female,hindwing,paratype,37504,length,35.3
19423,911657,34848,SMNS 66617,NULL,forewing,holotype,37506,length,58.6
19424,911658,34848,WDC 105,female,forewing,holotype,37507,length,37.5
19425,911658,34848,WDC 105,NULL,hindwing,holotype,37508,width,13.2
19425,911658,34848,WDC 105,NULL,hindwing,holotype,37509,length,36.8
19427,911659,34848,SMNS 66389,male,forewing,holotype,37511,length,43.2
19428,911659,34848,SMNS 66389,male,hindwing,holotype,37512,width,14.2
19428,911659,34848,SMNS 66389,male,hindwing,holotype,37513,length,41.9
19429,911661,34848,SMNS 66608,NULL,forewing,NULL,37514,length,38
19430,911779,34855,CAS 236,NULL,forewing,holotype,37515,width,2.83
19430,911779,34855,CAS 236,NULL,forewing,holotype,37516,length,9.2
19431,911779,34855,CAS 236,NULL,hindwing,holotype,37517,length,4.17
19432,911780,34856,MPZ-98/423,NULL,forewing,holotype,37518,length,6.3
19434,911781,34857,NSM-P1û7418,NULL,forewing,holotype,37522,width,4.5
19434,911781,34857,NSM-P1û7418,NULL,forewing,holotype,37520,length,12
19436,911782,34858,NSM-P1-7417,NULL,forewing,holotype,37523,width,4.5
19436,911782,34858,NSM-P1-7417,NULL,forewing,holotype,37524,length,11
19437,911784,34858,JC 1200027,NULL,wing,holotype,37525,width,2.8
19437,911784,34858,JC 1200027,NULL,wing,holotype,37526,length,9.6
19439,911786,34858,NSM-P1-7420,NULL,wing,NULL,37528,width,5
19439,911786,34858,NSM-P1-7420,NULL,wing,NULL,37529,length,12.5
19440,911786,34858,Yawata Primary School,NULL,wing,NULL,37530,width,5
19440,911786,34858,Yawata Primary School,NULL,wing,NULL,37531,length,13.5
19441,911787,34858,Iki Museum,NULL,forewing,holotype,37532,width,12.5
19441,911787,34858,Iki Museum,NULL,forewing,holotype,37533,length,58
19443,911788,34859,UAF-GS1,NULL,wing,NULL,37535,length,8.5
19444,911788,34859,UAS-GS20,NULL,wing,NULL,37536,length,8.5
19445,911789,34859,UAF-GS19,NULL,wing,NULL,37537,length,7.5
19446,911790,34859,UAF-GS23,NULL,forewing,NULL,37538,length,10
19447,911791,34859,UAF-GS25,NULL,forewing,NULL,37539,length,7
19448,911793,34859,UAF-GS7,NULL,wing,NULL,37540,length,5.5
19449,911793,34859,UAF-GS6,NULL,wing,NULL,37541,length,6
19450,911794,34859,UAF-GS9,NULL,wing,NULL,37542,length,3.5
19451,911794,34859,UAF-GS26,NULL,wing,NULL,37543,length,5.6
19452,911797,34860,T-280,NULL,forewing,holotype,37544,width,7.8
19452,911797,34860,T-280,NULL,forewing,holotype,37545,length,39
19453,911797,34860,T-280,NULL,hindwing,holotype,37546,width,10.4
19453,911797,34860,T-280,NULL,hindwing,holotype,37547,length,38
19454,912151,34865,MPEF-PI 1002,NULL,hindwing,holotype,37548,width,12
19454,912151,34865,MPEF-PI 1002,NULL,hindwing,holotype,37549,length,47.5
19455,912152,34866,RBCM.EH2008.018.0001,NULL,forewing,holotype,37550,width,5
19455,912152,34866,RBCM.EH2008.018.0001,NULL,forewing,holotype,37551,length,25
19457,912153,34867,UCCIPR L-18 F-763,NULL,wing,holotype,37553,width,7
19457,912153,34867,UCCIPR L-18 F-763,NULL,wing,holotype,37554,length,28
19458,912154,34867,TRUIPR L-018 F-1160,NULL,wing,holotype,37555,width,8
19458,912154,34867,TRUIPR L-018 F-1160,NULL,wing,holotype,37556,length,31
19459,912155,34867,UCCIPR L-18 F-998,NULL,wing,NULL,37557,width,7.5
19459,912155,34867,UCCIPR L-18 F-998,NULL,wing,NULL,37558,length,40
19460,912156,34867,SR062005,NULL,wing,holotype,37559,width,7
19460,912156,34867,SR062005,NULL,wing,holotype,37560,length,31
19461,912156,34867,SR990405,NULL,wing,paratype,37561,length,38
19462,912157,34867,SRUI 099600,NULL,wing,holotype,37562,width,6
19462,912157,34867,SRUI 099600,NULL,wing,holotype,37563,length,25
19463,912203,34868,NIGPA 143428,NULL,forewing,holotype,37564,width,3.3
19463,912203,34868,NIGPA 143428,NULL,forewing,holotype,37565,length,5.7
19464,912204,34869,NIGPA 142193,NULL,forewing,holotype,37566,width,4.3
19464,912204,34869,NIGPA 142193,NULL,forewing,holotype,37567,length,15.5
19465,912205,34871,NI-52144,NULL,forewing,holotype,37568,width,9
19465,912205,34871,NI-52144,NULL,forewing,holotype,37569,length,47
19467,912207,34872,Fig 2,NULL,wing,holotype,37572,width,4.6
19467,912207,34872,Fig 2,NULL,wing,holotype,37573,length,21.7
19468,912227,34874,CNU-NEUNN2009002,NULL,hindwing,holotype,37574,width,32
19468,912227,34874,CNU-NEUNN2009002,NULL,hindwing,holotype,37575,length,49
19469,912228,34874,CNU-NEUNN2009003,NULL,hindwing,holotype,37576,width,25
19469,912228,34874,CNU-NEUNN2009003,NULL,hindwing,holotype,37577,length,38
19470,912208,34870,PIN 3145/2006,NULL,elytron,holotype,37578,width,3
19470,912208,34870,PIN 3145/2006,NULL,elytron,holotype,37579,length,11.8
19471,912461,34870,PIN 2383/324,NULL,elytron,holotype,37580,width,1.4
19471,912461,34870,PIN 2383/324,NULL,elytron,holotype,37581,length,4.7
19472,912460,34870,PIN 4271/239,NULL,elytron,holotype,37582,width,3.9
19472,912460,34870,PIN 4271/239,NULL,elytron,holotype,37583,length,13.3
19474,912459,34870,PIN 4271/241,NULL,elytron,holotype,37586,width,2.1
19474,912459,34870,PIN 4271/241,NULL,elytron,holotype,37587,length,6.4
19476,912457,34870,PIN 3693/1,NULL,elytron,holotype,37590,width,1.8
19476,912457,34870,PIN 3693/1,NULL,elytron,holotype,37591,length,7.6
19477,912458,34870,PIN 4988/17,NULL,elytron,holotype,37592,width,3.1
19477,912458,34870,PIN 4988/17,NULL,elytron,holotype,37593,length,11.9
19478,912465,34875,PRE/F/10822,NULL,elytron,NULL,37594,width,2.1
19478,912465,34875,PRE/F/10822,NULL,elytron,NULL,37595,length,4.2
19479,912464,34875,PRE/F/10436,NULL,wing,NULL,37596,width,7
19479,912464,34875,PRE/F/10436,NULL,wing,NULL,37597,length,19
19480,912463,34875,PRE/F/10124,NULL,wing,NULL,37598,width,3
19480,912463,34875,PRE/F/10124,NULL,wing,NULL,37599,length,7.5
19481,912462,34875,PRE/F/5118,NULL,forewing,NULL,37600,width,19.2
19481,912462,34875,PRE/F/5118,NULL,forewing,NULL,37601,length,135
19482,913304,34904,PIN 5067/2,NULL,elytron,holotype,37602,width,2
19482,913304,34904,PIN 5067/2,NULL,elytron,holotype,37603,length,5.1
19483,913306,34904,PIN 5068/8,NULL,forewing,holotype,37604,width,5.1
19483,913306,34904,PIN 5068/8,NULL,forewing,holotype,37605,length,15
19484,913322,34902,PIN 3115/137,NULL,elytron,holotype,37606,width,15
19484,913322,34902,PIN 3115/137,NULL,elytron,holotype,37607,length,40
19485,913323,34902,PIN 3115/34,NULL,elytron,holotype,37608,width,10.8
19485,913323,34902,PIN 3115/34,NULL,elytron,holotype,37609,length,25
19486,913324,34902,PIN 3115/139,NULL,elytron,holotype,37610,width,12.5
19486,913324,34902,PIN 3115/139,NULL,elytron,holotype,37611,length,30
19487,913403,34913,NIGP DHG200398,NULL,wing,holotype,37612,width,2.5
19487,913403,34913,NIGP DHG200398,NULL,wing,holotype,37613,length,7.1
19489,913404,34913,NIGP DHG200396,NULL,wing,holotype,37615,width,2.1
19489,913404,34913,NIGP DHG200396,NULL,wing,holotype,37616,length,5.4
19491,913405,34913,NIGP DHG200397,NULL,wing,holotype,37618,width,2.7
19491,913405,34913,NIGP DHG200397,NULL,wing,holotype,37619,length,6
19493,913406,34913,NIGP DHG200399,NULL,wing,holotype,37621,width,1.2
19493,913406,34913,NIGP DHG200399,NULL,wing,holotype,37622,length,3.4
19495,913407,34915,93-NA-3/K8,NULL,elytron,holotype,37624,length,19.7
19497,913408,34915,93-SC-25/K1,NULL,elytron,holotype,37627,width,4.2
19497,913408,34915,93-SC-25/K1,NULL,elytron,holotype,37628,length,13.6
19498,913409,34915,93-SC-25/K2,NULL,elytron,holotype,37629,width,3.6
19498,913409,34915,93-SC-25/K2,NULL,elytron,holotype,37630,length,8.6
19499,913410,34915,93-HG-22/K1,NULL,elytron,holotype,37631,width,2.6
19499,913410,34915,93-HG-22/K1,NULL,elytron,holotype,37632,length,5.5
19500,913411,34915,92-T-62/K2,NULL,elytron,holotype,37633,width,4
19500,913411,34915,92-T-62/K2,NULL,elytron,holotype,37634,length,12.5
19501,913412,34917,NIGP 126781,NULL,hindwing,holotype,37635,width,11.5
19501,913412,34917,NIGP 126781,NULL,hindwing,holotype,37636,length,24
19502,913413,34917,NIGP 126782,NULL,hindwing,holotype,37637,width,22
19502,913413,34917,NIGP 126782,NULL,hindwing,holotype,37638,length,30
19503,913414,34917,NIGP 126783,NULL,forewing,holotype,37639,width,23
19503,913414,34917,NIGP 126783,NULL,forewing,holotype,37640,length,45
19504,913418,34919,41H II 0078-1,NULL,wing,holotype,37641,width,3.8
19504,913418,34919,41H II 0078-1,NULL,wing,holotype,37642,length,17.5
19506,913420,34921,CNU-CH-HF2007007,NULL,wing,holotype,37644,width,4.6
19506,913420,34921,CNU-CH-HF2007007,NULL,wing,holotype,37645,length,19.1
