collection_no,collection.authorizer,license,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,type_specimen,type_body_part,collection.reference_no,10_my_bin
8054,J. Alroy,CC BY,n. gen.,Idiastogyia,n. sp.,fatisca,,,,,NIGP 70057,wing,492,Jurassic 1
10721,P. Gensel,,,Rhyniognatha,,hirsti,,,,,,,3987,
10975,H. Sims,,n. gen.,Cotradechites,n. sp.,lithinus,,,,,PU 888-93,tegmen,4023,Cenozoic 1
11150,H. Sims,,,Tupus,n. sp.,whitei,,Typus,n. sp.,whitei,USNM 71713,forewing,4048,Permian 2
14339,H. Sims,,n. gen.,Dysmorphoscartella,n. sp.,lobata,,,,,N-E Rd I 1ab,wing,6188,Permian 4
14344,H. Sims,,,Euxenoperla,n. sp.,similis,,,,,N-EW22,wing,6188,Permian 4
14350,H. Sims,,,Mioloptera,,stuckenbergi,,,,,NM 850,wing,6188,Permian 4
14350,H. Sims,,aff.,Aleuronympha,,bibulla,,,,,NM 875ab,nymph,6188,Permian 4
14356,H. Sims,,aff.,Permonka,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,,Palademosyne,n. sp.,natalensis,,,,,NMSA 2573,elytra,6188,Permian 4
14356,H. Sims,,,Prochoristella,n. sp.,balgowanensis,,,,,NM 2564 ab,forewing,6188,Permian 4
14356,H. Sims,,cf.,Permocicada,informal,sp B,,,,,,,6188,Permian 4
14356,H. Sims,,,Megoniella,,multinerva,,,,,NM 849,wing,6188,Permian 4
14356,H. Sims,,,Ignotala,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,n. gen.,Stenotegmocicada,n. sp.,triclades,,,,,NM 2553,forewing,6188,Permian 4
14356,H. Sims,,,Taldycupes,n. sp.,africanus,,,,,NMSA 2574,elytra,6188,Permian 4
14356,H. Sims,,aff.,Permopsychops,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,,Beaufortiscus,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,cf.,Permocicada,informal,sp A,,,,,,,6188,Permian 4
14356,H. Sims,,,Permosyne,n. sp.,elongata,,,,,NMSA 2571,elytra,6188,Permian 4
14356,H. Sims,,cf.,Permocicada,informal,sp C,,,,,,,6188,Permian 4
14356,H. Sims,,,Palaeomantis,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,aff.,Permithone,,sp.,,,,,,,6188,Permian 4
14357,H. Sims,,,Euxenoperla,n. sp.,oliveri,,,,,NM 923ab,forewing,6188,Permian 4
14357,H. Sims,,,Liomopterites,n. sp.,ulterior,,,,,NM 980,forewing,6188,Permian 4
14357,H. Sims,,,Rhombocoleites,n. sp.,danutae,,,,,NMSA 0999,exoskeleton,6188,Permian 4
14357,H. Sims,,n. gen.,Afrogrylloblattus,n. sp.,disputabilis,,,,,NM 988,forewing,6188,Permian 4
