"","specimen_no","occurrence_no","reference_no","specimen_id","sex","specimen_part","is_type","measurement_no","measurement_type","average"
"1",61341,"1037670",41270,"YPM 1","NULL","elytron","holotype",121365,"length","15.2"
"4",61343,"1037672",41270,"YPM 2","NULL","elytron","holotype",121368,"width","3.3"
"5",61343,"1037672",41270,"YPM 2","NULL","elytron","holotype",121369,"length","12.7"
"10",25417,"971636",37344,"NULL","NULL","hindwing","holotype",47429,"length","43.4"
"11",25435,"971799",37344,"M. brevpennis type","NULL","tegmen","holotype",47464,"width","12.7"
"12",25435,"971799",37344,"M. brevpennis type","NULL","tegmen","holotype",47465,"length","43.4"
"13",25436,"965158",37344,"METH","NULL","tegmen","holotype",47466,"width","5.3"
"14",25436,"965158",37344,"METH","NULL","tegmen","holotype",47467,"length","38.1"
"15",25437,"965109",37344,"G. femoralis type","NULL","tegmen","holotype",47468,"length","12.4"
"17",26583,"980265",37344,"T. procerus Gratz type","NULL","wing","holotype",49308,"length","34.2"
"20",26585,"980266",37344,"T. haidingeri Wien type","NULL","wing","holotype",49311,"length","30.7"
"23",26587,"980267",37344,"T. spectabilis Stuttgart type","NULL","wing","holotype",49314,"width","8.5"
"24",26587,"980267",37344,"T. spectabilis Stuttgart type","NULL","wing","holotype",49315,"length","30.7"
"26",26589,"980277",37344,"T. insignis Seyfried type","NULL","wing","holotype",49317,"length","27.5"
"29",26591,"980291",37344,"T. bremii type","NULL","wing","holotype",49320,"width","4.5"
"30",26591,"980291",37344,"T. bremii type","NULL","wing","holotype",49321,"length","14.8"
"33",26605,"980298",37344,"T. pristinus Charpentier type","NULL","wing","holotype",49335,"length","22.5"
"34",26606,"980299",37344,"T. obscurus Heer type","NULL","wing","holotype",49336,"width","3.7"
"35",26606,"980299",37344,"T. obscurus Heer type","NULL","wing","holotype",49337,"length","13"
"36",26607,"980301",37344,"T. debilis Zurich type","NULL","wing","holotype",49338,"width","2.6"
"37",26607,"980301",37344,"T. debilis Zurich type","NULL","wing","holotype",49339,"length","7.2"
"39",26609,"980302",37344,"T. pusillus Bernstein type","NULL","wing","holotype",49341,"width","1.3"
"40",26609,"980302",37344,"T. pusillus Bernstein type","NULL","wing","holotype",49342,"length","5.3"
"42",26611,"966213",37344,"A. parthenope Zurich type","NULL","wing","holotype",49344,"width","7.9"
"43",26611,"966213",37344,"A. parthenope Zurich type","NULL","wing","holotype",49345,"length","35.5"
"45",26613,"966653",37344,"A. coloratum type","NULL","wing","holotype",49347,"length","37.3"
"46",26614,"966143",37344,"A. leucosia Lavater type","NULL","wing","holotype",49348,"width","7.7"
"47",26614,"966143",37344,"A. leucosia Lavater type","NULL","wing","holotype",49349,"length","37.6"
"48",26615,"966144",37344,"A. ligea Oeningen type","NULL","wing","holotype",49350,"width","6.9"
"49",26615,"966144",37344,"A. ligea Oeningen type","NULL","wing","holotype",49351,"length","30.7"
"50",26619,"980312",37344,"A. aglaope Seyfried type","NULL","wing","holotype",49355,"width","4"
"51",26619,"980312",37344,"A. aglaope Seyfried type","NULL","wing","holotype",49356,"length","18"
"53",26629,"980314",37344,"A. polydore Carlsruhe type","NULL","forewing","holotype",49366,"length","38.1"
"54",26630,"980314",37344,"A. polydore Carlsruhe type","NULL","hindwing","holotype",49367,"length","37.9"
"55",26634,"980315",37344,"A. tyche Lavater type","NULL","forewing","holotype",49371,"length","40.3"
"56",26635,"980315",37344,"A. tyche Lavater type","NULL","hindwing","holotype",49372,"width","14.6"
"57",26635,"980315",37344,"A. tyche Lavater type","NULL","hindwing","holotype",49373,"length","40.3"
"58",26640,"980316",37344,"A. metis Radoboj type","NULL","hindwing","holotype",49378,"width","16.9"
"59",26640,"980316",37344,"A. metis Radoboj type","NULL","hindwing","holotype",49379,"length","51.9"
"64",26700,"980372",37344,"V. attavina Parschlug type","NULL","wing","holotype",49457,"width","3.2"
"65",26700,"980372",37344,"V. attavina Parschlug type","NULL","wing","holotype",49458,"length","14.8"
"66",26723,"980373",37344,"F. obesa Radoboj type","NULL","forewing","holotype",49487,"width","4.8"
"67",26723,"980373",37344,"F. obesa Radoboj type","NULL","forewing","holotype",49488,"length","15.9"
"70",26725,"980393",37344,"F. pinguis Radoboj type","NULL","forewing","holotype",49491,"length","12.7"
"75",26728,"980400",37344,"F. lignitum Carlsruhe","NULL","forewing","NULL",49496,"length","14.8"
"78",26751,"980520",37344,"F. gravida unknown","NULL","forewing","NULL",49533,"width","3.2"
"79",26751,"980520",37344,"F. gravida unknown","NULL","forewing","NULL",49534,"length","10.1"
"82",26753,"980521",37344,"F. longicollis Carlsruhe type","NULL","wing","holotype",49537,"width","4.2"
"83",26753,"980521",37344,"F. longicollis Carlsruhe type","NULL","wing","holotype",49538,"length","13.8"
"89",26758,"980528",37344,"F. obscura Radoboj type","NULL","forewing","holotype",49545,"length","11.4"
"90",26759,"980529",37344,"F. primordialis Oeningen type","NULL","forewing","holotype",49546,"width","3.2"
"91",26759,"980529",37344,"F. primordialis Oeningen type","NULL","forewing","holotype",49547,"length","9.5"
"96",26763,"980531",37344,"F. immersa Oeningen type","NULL","wing","holotype",49554,"width","2.9"
"97",26763,"980531",37344,"F. immersa Oeningen type","NULL","wing","holotype",49555,"length","8.5"
"100",26765,"980532",37344,"F. longiventris Radoboj type","NULL","forewing","holotype",49558,"width","3.2"
"101",26765,"980532",37344,"F. longiventris Radoboj type","NULL","forewing","holotype",49559,"length","8.5"
"108",26769,"980536",37344,"F. ophthalmica Radoboj types","NULL","wing","NULL",49566,"width","2.6"
"109",26769,"980536",37344,"F. ophthalmica Radoboj types","NULL","wing","NULL",49567,"length","8.5"
"118",26774,"980542",37344,"F. seuberti Oeningen type","NULL","wing","holotype",49576,"length","8.5"
"121",26776,"980544",37344,"F. ungeri Radoboj type","NULL","forewing","holotype",49579,"length","8.5"
"124",26778,"980545",37344,"F. redtenbacheri Radoboj type","NULL","forewing","holotype",49582,"length","8.5"
"131",26782,"980546",37344,"F. globularis Radoboj type","NULL","wing","holotype",49589,"length","6.6"
"132",26783,"980547",37344,"F. globiventris Alberti type","NULL","wing","holotype",49590,"length","5.3"
"141",26788,"980550",37344,"F. occultata Radoboj female","female","forewing","NULL",49599,"length","5.3"
"145",26791,"980560",37344,"F. longipennis Radoboj type","NULL","forewing","holotype",49603,"width","1.9"
"146",26791,"980560",37344,"F. longipennis Radoboj type","NULL","forewing","holotype",49604,"length","5.3"
"155",26796,"980563",37344,"F. imhoffii Radoboj type","NULL","wing","holotype",49613,"width","3.4"
"156",26796,"980563",37344,"F. imhoffii Radoboj type","NULL","wing","holotype",49614,"length","10.6"
"159",26798,"980564",37344,"F. schmidtii Radoboj type","NULL","hindwing","holotype",49617,"length","7.4"
"162",26800,"980552",37344,"F. primitiva Oeningen type","NULL","forewing","holotype",49620,"length","7.9"
"169",26806,"980558",37344,"F. pulchella Seyfried type","NULL","wing","holotype",49628,"length","5.8"
"174",26809,"980568",37344,"F. atavina Radoboj type","NULL","forewing","holotype",49633,"width","1.6"
"175",26809,"980568",37344,"F. atavina Radoboj type","NULL","forewing","holotype",49634,"length","4.8"
"180",26812,"980574",37344,"P. fuliginosa Seyfried coll","NULL","forewing","NULL",49639,"width","2.6"
"181",26812,"980574",37344,"P. fuliginosa Seyfried coll","NULL","forewing","NULL",49640,"length","9.5"
"184",26814,"980578",37344,"P. affinis Radoboj type","NULL","wing","holotype",49643,"length","9.8"
"187",26816,"980570",37344,"P. croatica Wien type","NULL","forewing","holotype",49646,"width","2.6"
"188",26816,"980570",37344,"P. croatica Wien type","NULL","forewing","holotype",49647,"length","8.5"
"191",26818,"980575",37344,"P. longaeva Seyfried type","NULL","wing","holotype",49650,"length","8.2"
"194",26820,"980581",37344,"P. crassinervis Parschlug type","NULL","wing","holotype",49653,"width","3.2"
"195",26820,"980581",37344,"P. crassinervis Parschlug type","NULL","wing","holotype",49654,"length","7.9"
"198",26822,"980576",37344,"P. ventrosa Seyfried type","NULL","wing","holotype",49657,"width","3.4"
"199",26822,"980576",37344,"P. ventrosa Seyfried type","NULL","wing","holotype",49658,"length","10.6"
"203",26825,"980587",37344,"A. longipennis Radoboj type","NULL","wing","holotype",49662,"length","10.1"
"206",26827,"980589",37344,"A. nigra Radoboj type","NULL","wing","holotype",49665,"length","7.9"
"207",26828,"980595",37344,"M. macrocephala Oeningen type","NULL","wing","holotype",49666,"length","9.5"
"210",26830,"980590",37344,"M. tertiaria radobojensis type","NULL","forewing","holotype",49669,"width","4.2"
"211",26830,"980590",37344,"M. tertiaria radobojensis type","NULL","forewing","holotype",49670,"length","10.9"
"214",26832,"980601",37344,"M. obsoleta Parschlug type","NULL","wing","holotype",49673,"width","4"
"215",26832,"980601",37344,"M. obsoleta Parschlug type","NULL","wing","holotype",49674,"length","8.5"
"216",26833,"980597",37344,"M. rugiceps Oeningen type","NULL","wing","holotype",49675,"width","2.6"
"217",26833,"980597",37344,"M. rugiceps Oeningen type","NULL","wing","holotype",49676,"length","7.9"
"220",26835,"980602",37344,"M. aemula Parschlug type","NULL","wing","holotype",49679,"width","2.1"
"221",26835,"980602",37344,"M. aemula Parschlug type","NULL","wing","holotype",49680,"length","6.4"
"222",26836,"980591",37344,"M. bremii Radoboj type","NULL","wing","holotype",49681,"length","7.7"
"227",26839,"980592",37344,"M. jurinei Radoboj type","NULL","forewing","holotype",49686,"width","2.1"
"228",26839,"980592",37344,"M. jurinei Radoboj type","NULL","forewing","holotype",49687,"length","6.4"
"229",26840,"980592",37344,"M. jurinei Radoboj type","NULL","hindwing","holotype",49688,"length","4"
"236",27120,"983216",37344,"A. lividus Radoboj type","NULL","forewing","holotype",50113,"width","2.1"
"237",27120,"983216",37344,"A. lividus Radoboj type","NULL","forewing","holotype",50114,"length","7.4"
"240",27122,"983217",37344,"H. fasciata Radoboj type","NULL","wing","holotype",50117,"width","1.9"
"241",27122,"983217",37344,"H. fasciata Radoboj type","NULL","wing","holotype",50118,"length","5"
"244",27124,"983218",37344,"T. venusta Seyfried type","NULL","wing","holotype",50121,"width","3.7"
"245",27124,"983218",37344,"T. venusta Seyfried type","NULL","wing","holotype",50122,"length","10.3"
"246",27125,"983220",37344,"C. oeningensis Carlsruhe type","NULL","forewing","holotype",50123,"length","9.5"
"248",27127,"983219",37344,"C. fragilis Seyfried type","NULL","wing","holotype",50125,"length","6.9"
"250",27129,"983227",37344,"S. attavus Charpentier type","NULL","wing","holotype",50127,"length","35.8"
"251",27130,"983223",37344,"V. pluto Wien type","NULL","forewing","holotype",50128,"width","18.5"
"252",27130,"983223",37344,"V. pluto Wien type","NULL","forewing","holotype",50129,"length","31.8"
"253",27131,"983224",37344,"P. freyeri Wien type","NULL","forewing","holotype",50130,"width","11.7"
"254",27131,"983224",37344,"P. freyeri Wien type","NULL","forewing","holotype",50131,"length","20.7"
"255",27132,"983225",37344,"N. haidingeri Wien type","NULL","wing","holotype",50132,"width","7.2"
